,input_number,input,input_ensg,ensg_number,ortholog_name,ortholog_ensg,description
1704,1,Sparc,ENSMUSG00000018593,1.1.1,SPARC,ENSG00000113140,secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]
678,2,Gm42418,ENSMUSG00000098178,2.1.1,N/A,N/A,N/A
851,3,Itm2a,ENSMUSG00000031239,3.1.1,ITM2A,ENSG00000078596,integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]
1905,4,Ttr,ENSMUSG00000061808,4.1.1,TTR,ENSG00000118271,transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]
719,5,H2-Q7,ENSMUSG00000060550,5.1.1,N/A,N/A,N/A
865,7,Jund,ENSMUSG00000071076,7.1.1,JUND,ENSG00000130522,"JunD proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6206]"
866,7,Jund,ENSMUSG00000110974,7.2.1,N/A,N/A,N/A
718,8,H2-Q6,ENSMUSG00000073409,8.1.1,N/A,N/A,N/A
1918,9,Uba52,ENSMUSG00000068240,9.1.1,UBA52,ENSG00000221983,ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]
1919,9,Uba52,ENSMUSG00000090137,9.2.1,N/A,N/A,N/A
1893,10,Tsc22d3,ENSMUSG00000031431,10.1.1,TSC22D3,ENSG00000157514,TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]
94,11,Apold1,ENSMUSG00000090698,11.1.1,APOLD1,ENSG00000178878,apolipoprotein L domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25268]
239,12,Car4,ENSMUSG00000000805,12.1.1,CA4,ENSG00000167434,carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]
397,13,Cst3,ENSMUSG00000027447,13.1.1,CST3,ENSG00000101439,cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]
1449,14,Rgcc,ENSMUSG00000022018,14.1.1,RGCC,ENSG00000102760,regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]
884,15,Klf2,ENSMUSG00000055148,15.1.1,KLF2,ENSG00000127528,Kruppel like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]
128,16,Atox1,ENSMUSG00000018585,16.1.1,ATOX1,ENSG00000177556,antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]
1753,17,Stmn2,ENSMUSG00000027500,17.1.1,STMN2,ENSG00000104435,stathmin 2 [Source:HGNC Symbol;Acc:HGNC:10577]
824,18,Igfbp7,ENSMUSG00000036256,18.1.1,IGFBP7,ENSG00000163453,insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]
1657,19,Slc6a6,ENSMUSG00000030096,19.1.1,SLC6A6,ENSG00000131389,solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]
1062,20,mt-Nd2,ENSMUSG00000064345,20.1.1,MT-ND2,ENSG00000198763,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
682,21,Gnas,ENSMUSG00000027523,21.1.1,GNAS,ENSG00000087460,GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]
